# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
-78.8552,85.4404,4.63213e+17,43.5091,nan,nan,nan,43.2887,42.8865,42.3512,38.7277,22.5387,14.4829,230.583
-78.734,86.3111,3.36538e+17,32.4615,nan,nan,nan,31.25,29.4989,28.7013,26.1347,16.8043,12.8831,232.142
-78.6103,87.1655,2.33162e+17,22.7839,nan,nan,nan,21.0791,18.7779,17.9768,16.4742,11.7024,10.9191,232.782
-78.6352,83.206,5.1988e+17,59.0119,nan,nan,nan,59.5659,47.6622,38.5993,38.0143,25.417,15.6551,233.441
-78.5188,84.0935,3.90692e+17,38.6947,nan,nan,nan,37.4578,34.4964,32.2577,30.1306,19.4365,13.7778,231.972
-78.4,84.9632,3.54064e+17,33.8809,nan,nan,nan,32.3377,30.7769,29.925,27.4372,17.5792,13.1242,231.529
-78.2784,85.8173,3.59267e+17,35.4143,nan,nan,nan,33.9449,31.4064,29.7048,27.4501,17.8633,13.2848,234.612
-78.2797,81.8986,6.10345e+17,69.0179,nan,nan,nan,71.8607,55.0917,43.547,43.5075,28.5333,16.29,233.888
-78.1653,82.7868,3.43569e+17,34.034,nan,nan,nan,31.7286,28.9068,26.9867,25.3256,17.1194,13.0516,232.835
-78.0482,83.658,4.10795e+17,39.2214,nan,nan,nan,37.8803,36.113,34.5522,31.7708,19.8729,13.8191,233.215
-77.9283,84.5142,3.73357e+17,36.9688,nan,nan,nan,35.1676,32.1497,30.0007,28.0945,18.5162,13.5252,234.496
-77.9034,80.6174,4.41959e+17,49.5131,nan,nan,nan,47.6259,35.9281,29.6397,29.8152,21.638,14.748,236.157
-77.7903,81.5092,4.1044e+17,39.5835,nan,nan,nan,37.6135,34.5955,32.362,30.5388,19.895,13.8918,235.304
-77.6745,82.3844,4.10419e+17,38.9473,nan,nan,nan,37.0543,34.9229,33.2599,31.0325,19.8214,13.8263,234.158
-77.5558,83.2452,3.89225e+17,36.8964,nan,nan,nan,34.8269,33.1558,31.8251,29.4203,18.8263,13.5149,235.556
